Tiempo;Pos.x;Pos.y;Vel.x;Vel.y;Energia
0,000;0,000;5,000;12,500;21,651;0,000
0,010;0,125;5,216;12,490;21,535;312,001
0,020;0,250;5,431;12,480;21,420;311,504
0,030;0,375;5,644;12,470;21,305;311,009
0,040;0,499;5,857;12,460;21,189;310,517
0,050;0,624;6,068;12,450;21,074;310,026
0,060;0,748;6,278;12,439;20,959;309,538
0,070;0,873;6,487;12,429;20,844;309,051
0,080;0,997;6,695;12,419;20,729;308,567
0,090;1,121;6,902;12,409;20,613;308,085
0,100;1,245;7,107;12,398;20,498;307,604
0,110;1,369;7,312;12,388;20,383;307,126
0,120;1,493;7,515;12,378;20,268;306,650
0,130;1,616;7,717;12,367;20,153;306,177
0,140;1,740;7,918;12,357;20,038;305,705
0,150;1,864;8,118;12,346;19,923;305,235
0,160;1,987;8,317;12,336;19,808;304,767
0,170;2,110;8,514;12,325;19,693;304,301
0,180;2,233;8,710;12,315;19,578;303,838
0,190;2,357;8,906;12,304;19,463;303,376
0,200;2,480;9,100;12,293;19,348;302,917
0,210;2,602;9,293;12,283;19,233;302,459
0,220;2,725;9,484;12,272;19,118;302,004
0,230;2,848;9,675;12,261;19,003;301,551
0,240;2,970;9,864;12,250;18,889;301,099
0,250;3,093;10,053;12,239;18,774;300,650
0,260;3,215;10,240;12,228;18,659;300,203
0,270;3,337;10,426;12,217;18,544;299,758
0,280;3,460;10,611;12,206;18,430;299,315
0,290;3,582;10,795;12,195;18,315;298,873
0,300;3,703;10,977;12,184;18,200;298,434
0,310;3,825;11,159;12,173;18,086;297,997
0,320;3,947;11,339;12,162;17,971;297,562
0,330;4,068;11,518;12,151;17,856;297,129
0,340;4,190;11,696;12,139;17,742;296,698
0,350;4,311;11,873;12,128;17,627;296,270
0,360;4,433;12,049;12,117;17,513;295,843
0,370;4,554;12,223;12,105;17,398;295,418
0,380;4,675;12,396;12,094;17,284;294,995
0,390;4,796;12,569;12,083;17,170;294,574
0,400;4,916;12,740;12,071;17,055;294,155
0,410;5,037;12,910;12,060;16,941;293,738
0,420;5,157;13,079;12,048;16,827;293,323
0,430;5,278;13,246;12,036;16,712;292,910
0,440;5,398;13,413;12,025;16,598;292,499
0,450;5,518;13,578;12,013;16,484;292,090
0,460;5,638;13,743;12,001;16,370;291,683
0,470;5,758;13,906;11,989;16,256;291,279
0,480;5,878;14,068;11,977;16,142;290,875
0,490;5,998;14,229;11,965;16,027;290,474
0,500;6,118;14,388;11,953;15,913;290,075
0,510;6,237;14,547;11,941;15,799;289,678
0,520;6,356;14,704;11,929;15,685;289,283
0,530;6,476;14,861;11,917;15,571;288,890
0,540;6,595;15,016;11,905;15,458;288,499
0,550;6,714;15,170;11,893;15,344;288,110
0,560;6,833;15,323;11,881;15,230;287,722
0,570;6,951;15,474;11,868;15,116;287,337
0,580;7,070;15,625;11,856;15,002;286,954
0,590;7,188;15,774;11,844;14,889;286,572
0,600;7,307;15,923;11,831;14,775;286,193
0,610;7,425;16,070;11,819;14,661;285,815
0,620;7,543;16,216;11,806;14,548;285,439
0,630;7,661;16,361;11,794;14,434;285,066
0,640;7,779;16,505;11,781;14,321;284,694
0,650;7,897;16,647;11,768;14,207;284,324
0,660;8,014;16,789;11,755;14,094;283,956
0,670;8,132;16,929;11,743;13,981;283,590
0,680;8,249;17,068;11,730;13,867;283,225
0,690;8,367;17,206;11,717;13,754;282,863
0,700;8,484;17,343;11,704;13,641;282,503
0,710;8,601;17,479;11,691;13,528;282,144
0,720;8,717;17,614;11,678;13,414;281,788
0,730;8,834;17,748;11,665;13,301;281,433
0,740;8,951;17,880;11,651;13,188;281,080
0,750;9,067;18,011;11,638;13,075;280,729
0,760;9,183;18,141;11,625;12,962;280,380
0,770;9,300;18,271;11,612;12,849;280,032
0,780;9,416;18,398;11,598;12,737;279,687
0,790;9,532;18,525;11,585;12,624;279,343
0,800;9,647;18,651;11,571;12,511;279,002
0,810;9,763;18,776;11,558;12,398;278,662
0,820;9,879;18,899;11,544;12,286;278,324
0,830;9,994;19,021;11,530;12,173;277,987
0,840;10,109;19,142;11,516;12,061;277,653
0,850;10,224;19,262;11,503;11,948;277,320
0,860;10,339;19,381;11,489;11,836;276,989
0,870;10,454;19,499;11,475;11,723;276,660
0,880;10,569;19,616;11,461;11,611;276,333
0,890;10,683;19,731;11,447;11,499;276,008
0,900;10,798;19,846;11,433;11,387;275,684
0,910;10,912;19,959;11,419;11,274;275,363
0,920;11,026;20,071;11,404;11,162;275,043
0,930;11,140;20,182;11,390;11,050;274,724
0,940;11,254;20,292;11,376;10,938;274,408
0,950;11,368;20,401;11,361;10,827;274,093
0,960;11,481;20,509;11,347;10,715;273,780
0,970;11,594;20,615;11,332;10,603;273,469
0,980;11,708;20,721;11,318;10,491;273,159
0,990;11,821;20,825;11,303;10,380;272,851
1,000;11,934;20,928;11,288;10,268;272,545
1,010;12,047;21,031;11,273;10,157;272,241
1,020;12,159;21,132;11,259;10,045;271,938
1,030;12,272;21,232;11,244;9,934;271,638
1,040;12,384;21,330;11,229;9,823;271,338
1,050;12,496;21,428;11,214;9,712;271,041
1,060;12,608;21,525;11,198;9,601;270,745
1,070;12,720;21,620;11,183;9,489;270,451
1,080;12,832;21,714;11,168;9,379;270,158
1,090;12,944;21,808;11,153;9,268;269,867
1,100;13,055;21,900;11,137;9,157;269,578
1,110;13,166;21,991;11,122;9,046;269,291
1,120;13,278;22,081;11,106;8,936;269,005
1,130;13,389;22,169;11,091;8,825;268,720
1,140;13,499;22,257;11,075;8,715;268,438
1,150;13,610;22,344;11,059;8,604;268,157
